"reptile_ntaxa.x","reptile_mpd.obs","reptile_mpd.rand.mean","reptile_mpd.rand.sd","reptile_mpd.obs.rank","reptile_mpd.obs.z","reptile_mpd.obs.p","reptile_runs.x","reptile_NRI","grid_id","reptile_ntaxa.y","reptile_mntd.obs","reptile_mntd.rand.mean","reptile_mntd.rand.sd","reptile_mntd.obs.rank","reptile_mntd.obs.z","reptile_mntd.obs.p","reptile_runs.y","reptile_NTI","reptile_richness","reptile_PD_obs","reptile_pd_rand_mean","reptile_pd_rand_sd","reptile_pd_obs_rank","reptile_zscore","reptile_pd_obs_p","reptile_reps"
11,255.2795144,321.719163074838,31.1161869958012,40,-2.13521176883928,0.04,999,2.13521176883928,10117,11,102.316877636364,175.154811134589,32.8446150079616,17,-2.21765222337267,0.017,999,2.21765222337267,11,934.802435,1346.604681166,25957.9344583296,3,-2.5559576011793,0.002997002997003,1000
11,255.2795144,321.719163074838,31.1161869958012,40,-2.13521176883928,0.04,999,2.13521176883928,10118,11,102.316877636364,175.154811134589,32.8446150079616,17,-2.21765222337267,0.017,999,2.21765222337267,11,934.802435,1346.604681166,25957.9344583296,3,-2.5559576011793,0.002997002997003,1000
12,271.301048939394,321.822309410228,29.5136344190119,66,-1.71179393745861,0.066,999,1.71179393745861,10119,12,72.7856906666667,170.010266171004,30.9716316730147,2,-3.13914928767052,0.002,999,3.13914928767052,12,966.824394,1434.615560182,27618.5667970186,3,-2.8148253088953,0.002997002997003,1000
13,260.211427461538,321.794865815495,28.6706601560878,44,-2.14796024991005,0.044,999,2.14796024991005,10120,13,68.6590458461538,165.923971512435,29.5231363674638,1,-3.29453227650546,0.001,999,3.29453227650546,13,980.820635,1517.657537561,29126.7029895745,1,-3.14555076334183,0.000999000999000999,1000
12,243.194700030303,321.717520067765,30.154921435749,28,-2.60398025591843,0.028,999,2.60398025591843,10121,12,95.3854135,170.879289173674,31.1284104349212,8,-2.42524030680928,0.008,999,2.42524030680928,12,948.798676,1431.754004586,27923.828064982,1,-2.89014401789549,0.000999000999000999,1000
3,308.915878,317.563069161161,80.6049808252581,454,-0.10727862065878,0.454,999,0.10727862065878,10202,3,241.305368,282.459165742409,95.2474580790781,452,-0.432072399331031,0.452,999,0.432072399331031,3,492.839834,519.068739184,6940.32327970437,452,-0.314840296700705,0.451548451548452,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10203,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10204,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10205,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10206,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
